"Habitat" "Site" "Station" "Tag" "Genus" "Species"
"277" "Farm" "Inter1" "10B" "162" "Zapus" "hudsonius"
"278" "Farm" "Inter1" "8A" "163" "Zapus" "hudsonius"
"279" "Farm" "Inter1" "9A" "163" "Zapus" "hudsonius"
"280" "Farm" "Inter1" "8B" "163" "Zapus" "hudsonius"
"281" "Farm" "Inter1" "16A" "163" "Zapus" "hudsonius"
"282" "Farm" "Inter1" "4A" "163" "Zapus" "hudsonius"
"283" "Farm" "Inter1" "4A" "164" "Microtus" "pennsylvanicus"
"284" "Farm" "Inter1" "26B" "165" "Peromyscus" "leucopus"
"285" "Farm" "Inter1" "22A" "165" "Peromyscus" "leucopus"
"286" "Farm" "Inter1" "27B" "165" "Peromyscus" "leucopus"
"287" "Farm" "Inter1" "14A" "165" "Peromyscus" "leucopus"
"288" "Farm" "Inter1" "25B" "166" "Peromyscus" "leucopus"
"289" "Farm" "Inter1" "27B" "166" "Peromyscus" "leucopus"
"290" "Farm" "Inter1" "23A" "166" "Peromyscus" "leucopus"
"291" "Farm" "Inter1" "28A" "166" "Peromyscus" "leucopus"
"292" "Farm" "Inter1" "29B" "166" "Peromyscus" "leucopus"
"293" "Farm" "Inter1" "22A" "167" "Peromyscus" "leucopus"
"294" "Farm" "Inter1" "29B" "167" "Peromyscus" "leucopus"
"295" "Farm" "Inter1" "28A" "185" "Peromyscus" "leucopus"
"296" "Farm" "Inter1" "4A" "252" "Zapus" "hudsonius"
"297" "Farm" "Inter1" "3A" "252" "Zapus" "hudsonius"
"298" "Farm" "Inter1" "3B" "252" "Zapus" "hudsonius"
"299" "Farm" "Inter1" "7A" "253" "Zapus" "hudsonius"
"300" "Farm" "Inter1" "7B" "254" "Zapus" "hudsonius"
"301" "Farm" "Inter1" "4B" "254" "Zapus" "hudsonius"
"302" "Farm" "Inter1" "8A" "255" "Zapus" "hudsonius"
"303" "Farm" "Inter1" "12" "255" "Zapus" "hudsonius"
"304" "Farm" "Inter1" "24B" "260" "Zapus" "hudsonius"
"305" "Farm" "Inter1" "20A" "260" "Zapus" "hudsonius"
"306" "Farm" "Inter1" "11A" "261" "Zapus" "hudsonius"
"307" "Farm" "Inter1" "15B" "262" "Zapus" "hudsonius"
"308" "Farm" "Inter1" "15A" "262" "Zapus" "hudsonius"
"309" "Farm" "Inter1" "26B" "263" "Peromyscus" "leucopus"
"310" "Farm" "Inter1" "25A" "263" "Peromyscus" "leucopus"
"311" "Farm" "Inter1" "26A" "264" "Zapus" "hudsonius"
"312" "Farm" "Inter1" "29A" "265" "Zapus" "hudsonius"
"313" "Farm" "Inter1" "7B" "265" "Zapus" "hudsonius"
"314" "Farm" "Inter1" "21A" "267" "Peromyscus" "leucopus"
"315" "Farm" "Inter1" "1A" "305" "Zapus" "hudsonius"
"316" "Farm" "Inter1" "21A" "309" "Zapus" "hudsonius"
"317" "Farm" "Inter1" "13B" "311" "Zapus" "hudsonius"
"318" "Farm" "Inter1" "11B" "312" "Zapus" "hudsonius"
"319" "Farm" "Inter1" "11A" "313" "Zapus" "hudsonius"
"320" "Farm" "Inter1" "21A" "316" "Peromyscus" "leucopus"
"321" "Farm" "Inter1" "18B" "317" "Zapus" "hudsonius"
"322" "Farm" "Inter1" "19B" "317" "Zapus" "hudsonius"
"323" "Farm" "Inter1" "16B" "318" "Microtus" "pennsylvanicus"
"324" "Farm" "Inter1" "16A" "318" "Microtus" "pennsylvanicus"
"325" "Farm" "Inter1" "11B" "319" "Zapus" "hudsonius"
"326" "Farm" "Inter1" "11A" "320" "Zapus" "hudsonius"
"327" "Farm" "Inter1" "10B" "321" "Zapus" "hudsonius"
"328" "Farm" "Inter1" "5A" "321" "Zapus" "hudsonius"
"329" "Farm" "Inter1" "10A" "322" "Zapus" "hudsonius"
"330" "Farm" "Inter1" "5A" "323" "Peromyscus" "leucopus"
"331" "Farm" "Inter1" "4A" "324" "Peromyscus" "leucopus"
"332" "Farm" "Inter1" "4A" "324" "Peromyscus" "leucopus"
"333" "Farm" "Inter1" "4A" "324" "Peromyscus" "leucopus"
"334" "Farm" "Inter1" "23A" "326" "Zapus" "hudsonius"
"335" "Farm" "Inter1" "26B" "327" "Zapus" "hudsonius"
"336" "Farm" "Inter1" "29B" "328" "Zapus" "hudsonius"
"337" "Farm" "Inter1" "26B" "329" "Peromyscus" "leucopus"
"338" "Farm" "Inter1" "28A" "329" "Peromyscus" "leucopus"
"339" "Farm" "Inter1" "8B" "347" "Zapus" "hudsonius"
"340" "Farm" "Inter1" "9A" "348" "Zapus" "hudsonius"
"341" "Farm" "Inter1" "3A" "348" "Zapus" "hudsonius"
"342" "Farm" "Inter1" "2A" "349" "Peromyscus" "leucopus"
"343" "Farm" "Inter1" "22B" "427" "Zapus" "hudsonius"
"344" "Farm" "Inter1" "11B" "428" "Microtus" "pennsylvanicus"
"345" "Farm" "Inter1" "6B" "430" "Zapus" "hudsonius"
"346" "Farm" "Inter1" "8A" "431" "Zapus" "hudsonius"
"347" "Farm" "Inter1" "10B" "433" "Zapus" "hudsonius"
"348" "Farm" "Inter1" "27A" "434" "Peromyscus" "leucopus"
"349" "Farm" "Inter1" "24A" "435" "Peromyscus" "leucopus"
"350" "Farm" "Inter1" "24A" "435" "Peromyscus" "leucopus"
"351" "Farm" "Inter1" "30A" "438" "Zapus" "hudsonius"
"352" "Farm" "Inter1" "22B" "440" "Peromyscus" "leucopus"
"353" "Farm" "Inter1" "10B" "441" "Peromyscus" "leucopus"
"354" "Farm" "Inter1" "8A" "442" "Peromyscus" "leucopus"
"355" "Farm" "Inter1" "5A" "443" "Peromyscus" "leucopus"
"356" "Farm" "Inter1" "12A" "451" "Peromyscus" "leucopus"
"357" "Farm" "Inter1" "17A" "452" "Peromyscus" "leucopus"
"358" "Farm" "Inter1" "17B" "453" "Peromyscus" "leucopus"
"359" "Farm" "Inter1" "19B" "454" "Zapus" "hudsonius"
"360" "Farm" "Inter1" "21A" "455" "Peromyscus" "leucopus"
"361" "Farm" "Inter1" "10A" "474" "Zapus" "hudsonius"
"362" "Farm" "Inter1" "11A" "474" "Zapus" "hudsonius"
"363" "Farm" "Inter1" "18A" "478" "Microtus" "pennsylvanicus"
"364" "Farm" "Inter1" "30A" "480" "Peromyscus" "leucopus"
"365" "Farm" "Inter1" "24B" "481" "Peromyscus" "leucopus"
"366" "Farm" "Inter1" "18A" "481" "Peromyscus" "leucopus"
"367" "Farm" "Inter1" "15A" "482" "Microtus" "pennsylvanicus"
"368" "Farm" "Inter1" "11B" "483" "Zapus" "hudsonius"
"369" "Farm" "Inter1" "11A" "484" "Peromyscus" "leucopus"
"370" "Farm" "Inter1" "11A" "484" "Peromyscus" "leucopus"
"371" "Farm" "Inter1" "5B" "485" "Zapus" "hudsonius"
"372" "Farm" "Inter1" "4B" "485" "Zapus" "hudsonius"
"373" "Farm" "Inter1" "5B" "485" "Zapus" "hudsonius"
"374" "Farm" "Inter1" "5A" "486" "Zapus" "hudsonius"
"375" "Farm" "Inter1" "14A" "486" "Zapus" "hudsonius"
"376" "Farm" "Inter1" "4A" "DESC" "Blarina" "brevicauda"
"377" "Farm" "Inter1" "8B" "RECAP" "Zapus" "hudsonius"
"378" "Farm" "Inter1" "23B" "RECAP" "Zapus" "hudsonius"
"379" "Farm" "Inter1" "26A" "RECAP" "Peromyscus" "leucopus"
"380" "Farm" "Inter1" "25A" "RECAP" "Peromyscus" "leucopus"
"381" "Farm" "Inter1" "6B" "RECAP" "Zapus" "hudsonius"
"382" "Farm" "Inter1" "18B" "RECAP" "Peromyscus" "leucopus"
"383" "Farm" "Inter1" "21B" "" "Zapus" "hudsonius"
"384" "Farm" "Inter1" "28B" "" "Peromyscus" "leucopus"
"385" "Farm" "Inter2" "11A" "135" "Peromyscus" "leucopus"
